date,open,high,low,close,volume
2022-08-29 07:00:00+00:00,19851.0,19908.0,19792.0,19892.0,13.1405
2022-08-29 08:00:00+00:00,19897.0,19920.0,19797.0,19797.0,26.6203
2022-08-29 09:00:00+00:00,19794.0,19853.0,19792.0,19838.0,8.3993
2022-08-29 10:00:00+00:00,19839.0,19861.0,19806.0,19826.0,6.0243
2022-08-29 11:00:00+00:00,19832.0,19837.0,19765.0,19823.0,24.5371
2022-08-29 12:00:00+00:00,19824.0,20056.0,19807.0,19895.0,52.7869
2022-08-29 13:00:00+00:00,19896.0,20155.0,19896.0,20090.0,200.9101
2022-08-29 14:00:00+00:00,20088.0,20383.0,20082.0,20170.0,385.9001
2022-08-29 15:00:00+00:00,20172.0,20282.0,20156.0,20257.0,97.0587
2022-08-29 16:00:00+00:00,20260.0,20428.0,20250.0,20319.0,106.3881
2022-08-29 17:00:00+00:00,20320.0,20334.0,20201.0,20280.0,25.041
2022-08-29 18:00:00+00:00,20281.0,20285.0,20118.0,20176.0,108.842
2022-08-29 19:00:00+00:00,20172.0,20198.0,20083.0,20092.0,37.1701
2022-08-29 20:00:00+00:00,20097.0,20199.0,20071.0,20177.0,100.0303
2022-08-29 21:00:00+00:00,20178.0,20222.0,20132.0,20207.0,57.7158
2022-08-29 22:00:00+00:00,20206.0,20236.0,20160.0,20195.0,23.8315
2022-08-29 23:00:00+00:00,20208.0,20346.0,20129.0,20291.0,72.5466
2022-08-30 00:00:00+00:00,20292.0,20294.0,20192.0,20258.0,22.6065
2022-08-30 01:00:00+00:00,20258.0,20279.0,20121.0,20167.0,56.5228
2022-08-30 02:00:00+00:00,20165.0,20210.0,20129.0,20196.0,25.9259
2022-08-30 03:00:00+00:00,20199.0,20277.0,20169.0,20268.0,37.867
2022-08-30 04:00:00+00:00,20272.0,20544.0,20261.0,20464.0,91.3773
2022-08-30 05:00:00+00:00,20464.0,20468.0,20367.0,20416.0,36.23
2022-08-30 06:00:00+00:00,20417.0,20440.0,20378.0,20401.0,38.3958
2022-08-30 07:00:00+00:00,20399.0,20568.0,20383.0,20435.0,66.8885
2022-08-30 08:00:00+00:00,20436.0,20500.0,20387.0,20399.0,13.1202
2022-08-30 09:00:00+00:00,20407.0,20444.0,20388.0,20423.0,5.1204
2022-08-30 10:00:00+00:00,20424.0,20508.0,20346.0,20396.0,10.7925
2022-08-30 11:00:00+00:00,20396.0,20412.0,20364.0,20403.0,23.9026
2022-08-30 12:00:00+00:00,20403.0,20439.0,20287.0,20341.0,48.4011
2022-08-30 13:00:00+00:00,20336.0,20447.0,20252.0,20267.0,138.9471
2022-08-30 14:00:00+00:00,20269.0,20293.0,19715.0,19816.0,464.5227
2022-08-30 15:00:00+00:00,19823.0,19830.0,19657.0,19761.0,258.6322
2022-08-30 16:00:00+00:00,19758.0,19936.0,19550.0,19612.0,429.3162
2022-08-30 17:00:00+00:00,19613.0,19691.0,19573.0,19681.0,316.762
2022-08-30 18:00:00+00:00,19681.0,19803.0,19679.0,19776.0,138.865
2022-08-30 19:00:00+00:00,19777.0,20093.0,19760.0,19949.0,592.5716
2022-08-30 20:00:00+00:00,19955.0,20053.0,19841.0,19974.0,146.4669
2022-08-30 21:00:00+00:00,19976.0,20004.0,19800.0,19872.0,112.0165
2022-08-30 22:00:00+00:00,19879.0,19913.0,19777.0,19908.0,86.3352
2022-08-30 23:00:00+00:00,19907.0,19927.0,19751.0,19803.0,165.3
2022-08-31 00:00:00+00:00,19816.0,19990.0,19803.0,19956.0,175.0513
2022-08-31 01:00:00+00:00,19958.0,20256.0,19941.0,20232.0,576.7562
2022-08-31 02:00:00+00:00,20234.0,20413.0,20234.0,20332.0,175.2808
2022-08-31 03:00:00+00:00,20333.0,20449.0,20299.0,20410.0,76.8348
2022-08-31 04:00:00+00:00,20405.0,20438.0,20335.0,20343.0,28.0223
2022-08-31 05:00:00+00:00,20343.0,20379.0,20317.0,20347.0,22.5876
2022-08-31 06:00:00+00:00,20356.0,20487.0,20196.0,20245.0,232.889
2022-08-31 07:00:00+00:00,20250.0,20303.0,20195.0,20257.0,17.948
2022-08-31 08:00:00+00:00,20258.0,20327.0,20124.0,20231.0,39.773
2022-08-31 09:00:00+00:00,20233.0,20237.0,20162.0,20174.0,10.7616
